Chapter,image_path,qsn,ans,correct_answer,type,source,chapter_id,question_id,creator
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_030_002.png,2,2,(a=\frac{1}{4}; b=-\frac{5}{4}; f(x)=\frac{1}{4}(x^{2}-5x+8)),SUBJ,MODULE,MA19,MA19028,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_032_004.png,3,3,6,SUBJ,MODULE,MA19,MA19029,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_033_004.png,4,4,(75\sqrt{3}) sq. units,SUBJ,MODULE,MA19,MA19030,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_034_005.png,5,5,"(r=\sqrt{\frac{2A}{\pi+4}}, s=\sqrt{\frac{2A}{\pi+4}})",SUBJ,MODULE,MA19,MA19031,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_035_006.png,6,6,(3x+4y-9=0; 3x-4y+9=0),SUBJ,MODULE,MA19,MA19032,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_036_007.png,7,7,(\frac{1}{\pi}) cu m,SUBJ,MODULE,MA19,MA19033,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_037_008.png,8,8,"110', 70'",SUBJ,MODULE,MA19,MA19034,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_039_009.png,9,9,"side 10', height 10'",SUBJ,MODULE,MA19,MA19035,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_040_010.png,10,10,32 sq. units,SUBJ,MODULE,MA19,MA19036,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_042_011.png,11,11,"(a=1, b=0)",SUBJ,MODULE,MA19,MA19037,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_043_012.png,12,12,6' x 18',SUBJ,MODULE,MA19,MA19038,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_049_001.png,1,1,4,SMCQ,MAIN,MA19,MA19039,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_050_002.png,2,2,3,SMCQ,MAIN,MA19,MA19040,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_051_003.png,3,3,3,SMCQ,MAIN,MA19,MA19041,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_052_004.png,4,4,4,SMCQ,MAIN,MA19,MA19042,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_053_005.png,5,5,2,SMCQ,MAIN,MA19,MA19043,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_054_006.png,6,6,4,SMCQ,MAIN,MA19,MA19044,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_056_000.png,0,7,1,SMCQ,MAIN,MA19,MA19045,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_058_000.png,0,8,4,SMCQ,MAIN,MA19,MA19046,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_059_009.png,9,9,3,SMCQ,MAIN,MA19,MA19047,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_060_010.png,10,10,4,SMCQ,MAIN,MA19,MA19048,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_065_012.png,12,12,1,SMCQ,MAIN,MA19,MA19049,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_066_013.png,13,13,3,SMCQ,MAIN,MA19,MA19050,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_071_014.png,14,14,4,SMCQ,MAIN,MA19,MA19051,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_074_015.png,15,15,3,SMCQ,MAIN,MA19,MA19052,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_076_002.png,2,16,1,SMCQ,MAIN,MA19,MA19053,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_077_017.png,17,17,4,SMCQ,MAIN,MA19,MA19054,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_078_018.png,18,18,4,SMCQ,MAIN,MA19,MA19055,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_081_020.png,20,20,3,SMCQ,MAIN,MA19,MA19056,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_082_021.png,21,21,4,SMCQ,MAIN,MA19,MA19057,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_083_022.png,22,22,3,SMCQ,MAIN,MA19,MA19058,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_084_023.png,23,23,4,SMCQ,MAIN,MA19,MA19059,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_085_024.png,24,24,3,SMCQ,MAIN,MA19,MA19060,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_086_025.png,25,25,2,SMCQ,MAIN,MA19,MA19061,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_087_026.png,26,26,1,SMCQ,MAIN,MA19,MA19062,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_088_027.png,27,27,4,SMCQ,MAIN,MA19,MA19063,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_089_028.png,28,28,2,SMCQ,MAIN,MA19,MA19064,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_090_029.png,29,29,2,SMCQ,MAIN,MA19,MA19065,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_091_030.png,30,30,3,SMCQ,MAIN,MA19,MA19066,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_094_032.png,32,32,4,SMCQ,MAIN,MA19,MA19067,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_096_001.png,1,33,4,SMCQ,MAIN,MA19,MA19068,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_097_034.png,34,34,4,SMCQ,MAIN,MA19,MA19069,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_098_035.png,35,35,2,SMCQ,MAIN,MA19,MA19070,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_099_036.png,36,36,3,SMCQ,MAIN,MA19,MA19071,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_100_037.png,37,37,4,SMCQ,MAIN,MA19,MA19072,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_101_038.png,38,38,3,SMCQ,MAIN,MA19,MA19073,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_102_039.png,39,39,904,INT,MAIN,MA19,MA19074,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_105_041.png,41,41,22,INT,MAIN,MA19,MA19075,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_107_042.png,42,42,1,INT,MAIN,MA19,MA19076,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_110_044.png,44,44,48,INT,MAIN,MA19,MA19077,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_111_045.png,45,45,5,INT,MAIN,MA19,MA19078,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_112_046.png,46,46,4,SMCQ,MAIN,MA19,MA19079,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_113_001.png,1,1,A,SMCQ,ADV,MA19,MA19080,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_114_002.png,2,2,D,SMCQ,ADV,MA19,MA19081,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_116_003.png,3,3,A,SMCQ,ADV,MA19,MA19082,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_117_004.png,4,4,D,SMCQ,ADV,MA19,MA19083,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_118_005.png,5,5,C,SMCQ,ADV,MA19,MA19084,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_119_006.png,6,6,D,SMCQ,ADV,MA19,MA19085,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_121_008.png,8,8,10,INT,ADV,MA19,MA19086,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_122_009.png,9,9,( 4\sqrt{65} ),SUBJ,ADV,MA19,MA19087,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_127_002.png,12,12,0,INT,ADV,MA19,MA19088,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_128_002.png,12,12,7,INT,ADV,MA19,MA19089,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_129_013.png,13,13,1,INT,ADV,MA19,MA19090,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_130_014.png,14,14,5,INT,ADV,MA19,MA19091,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_131_015.png,15,15,9,INT,ADV,MA19,MA19092,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_133_016.png,16,16,"A, C",MMCQ,ADV,MA19,MA19093,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_134_017.png,17,17,"A, B",MMCQ,ADV,MA19,MA19094,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_135_018.png,18,18,4,INT,ADV,MA19,MA19095,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_136_019.png,19,19,"B, C",MMCQ,ADV,MA19,MA19096,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_137_020.png,20,20,C,MMCQ,ADV,MA19,MA19097,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_138_021.png,21,21,0.5,INT,ADV,MA19,MA19098,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_140_022.png,22,22,5,INT,ADV,MA19,MA19099,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_143_001.png,1,1,"B, D",MMCQ,MODULE,MA19,MA19100,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_144_002.png,2,2,"A, B, D",MMCQ,MODULE,MA19,MA19101,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_145_003.png,3,3,"B, D",MMCQ,MODULE,MA19,MA19102,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_147_004.png,4,4,"A,B,C,D",MMCQ,MODULE,MA19,MA19103,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_148_005.png,5,5,"A, C",MMCQ,MODULE,MA19,MA19104,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_153_007.png,7,7,"A, C",MMCQ,MODULE,MA19,MA19105,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_154_008.png,8,8,"B, C",MMCQ,MODULE,MA19,MA19106,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_155_009.png,9,9,"A, B, C, D",MMCQ,MODULE,MA19,MA19107,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_156_010.png,10,10,"B, C, D",MMCQ,MODULE,MA19,MA19108,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_157_001.png,1,1,Pmax= a 1 cos ec 2 ? ? ? ? ?,SUBJ,MODULE,MA19,MA19109,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_164_005.png,5,5,"(0, 0)",SUBJ,MODULE,MA19,MA19110,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_165_006.png,6,6,,SUBJ,MODULE,MA19,MA19111,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_166_007.png,7,7,,SUBJ,MODULE,MA19,MA19112,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_167_008.png,8,8,,SUBJ,MODULE,MA19,MA19113,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_168_009.png,9,9,,SUBJ,MODULE,MA19,MA19114,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_169_010.png,10,10,(\pi) / 4,SUBJ,MODULE,MA19,MA19115,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_170_011.png,11,11,320,SUBJ,MODULE,MA19,MA19116,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_175_002.png,13,13,,SUBJ,MODULE,MA19,MA19117,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_177_014.png,14,14,( \frac{4}{3\sqrt{3}} ),SUBJ,MODULE,MA19,MA19118,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_001_001.png,1,1,C,SMCQ,MODULE,MA12,MA12001,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_002_002.png,2,2,B,SMCQ,MODULE,MA12,MA12002,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_003_003.png,3,3,A,SMCQ,MODULE,MA12,MA12003,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_005_002.png,2,4,C,SMCQ,MODULE,MA12,MA12004,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_006_005.png,5,5,B,SMCQ,MODULE,MA12,MA12005,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_007_006.png,6,6,A,SMCQ,MODULE,MA12,MA12006,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_008_007.png,7,7,C,SMCQ,MODULE,MA12,MA12007,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_009_008.png,8,8,A,SMCQ,MODULE,MA12,MA12008,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_010_009.png,9,9,B,SMCQ,MODULE,MA12,MA12009,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_013_010.png,10,10,B,SMCQ,MODULE,MA12,MA12010,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_014_011.png,11,11,B,SMCQ,MODULE,MA12,MA12011,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_015_012.png,12,12,D,SMCQ,MODULE,MA12,MA12012,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_016_013.png,13,13,B,SMCQ,MODULE,MA12,MA12013,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_017_014.png,14,14,A,SMCQ,MODULE,MA12,MA12014,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_018_015.png,15,15,B,SMCQ,MODULE,MA12,MA12015,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_019_001.png,1,1,(a) r = 6 (b) r = 5 or 9,SUBJ,MODULE,MA12,MA12016,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_021_002.png,2,2,(i) 05-12-2024 (ii)  (T_6) = 7,SUBJ,MODULE,MA12,MA12017,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_022_003.png,3,3,,SUBJ,MODULE,MA12,MA12018,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_024_004.png,4,4,(\frac{(2^{mn}-1)}{(2^{n}-1)(2^{mn})}),SUBJ,MODULE,MA12,MA12019,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_025_005.png,5,5,(i) (T_7=\frac{7.3^{13}}{2}) (ii) (455\times3^{12}),SUBJ,MODULE,MA12,MA12020,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_026_006.png,6,6,(\frac{17}{54}),SUBJ,MODULE,MA12,MA12021,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_027_007.png,7,7,n=2 or 3 or 4,SUBJ,MODULE,MA12,MA12022,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_028_008.png,8,8,816,SUBJ,MODULE,MA12,MA12023,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_036_011.png,11,11,(a) 990 (b) 3600,SUBJ,MODULE,MA12,MA12024,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_037_012.png,12,12,({}^{n}C_{r}(3^{n-r}-2^{n-r})),SUBJ,MODULE,MA12,MA12025,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_038_013.png,13,13,,SUBJ,MODULE,MA12,MA12026,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_039_014.png,14,14,(i) 3� (ii) 1 (iii) an,SUBJ,MODULE,MA12,MA12027,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_040_015.png,15,15,,SUBJ,MODULE,MA12,MA12028,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_043_016.png,16,16,,SUBJ,MODULE,MA12,MA12029,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_044_017.png,17,17,,SUBJ,MODULE,MA12,MA12030,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_045_001.png,1,1,2,SMCQ,MAIN,MA12,MA12031,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_046_002.png,2,2,1,SMCQ,MAIN,MA12,MA12032,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_047_003.png,3,3,3,SMCQ,MAIN,MA12,MA12033,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_048_004.png,4,4,2,SMCQ,MAIN,MA12,MA12034,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_049_005.png,5,5,4,SMCQ,MAIN,MA12,MA12035,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_055_007.png,7,7,1,SMCQ,MAIN,MA12,MA12036,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_056_008.png,8,8,2,SMCQ,MAIN,MA12,MA12037,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_057_009.png,9,9,3,SMCQ,MAIN,MA12,MA12038,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_058_010.png,10,10,4,SMCQ,MAIN,MA12,MA12039,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_059_011.png,11,11,3,SMCQ,MAIN,MA12,MA12040,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_060_012.png,12,12. (Bonus),1,SMCQ,MAIN,MA12,MA12041,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_061_013.png,13,13,1,SMCQ,MAIN,MA12,MA12042,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_062_014.png,14,14,1,SMCQ,MAIN,MA12,MA12043,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_063_015.png,15,15,4,SMCQ,MAIN,MA12,MA12044,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_064_016.png,16,16,3,SMCQ,MAIN,MA12,MA12045,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_065_017.png,17,17,4,SMCQ,MAIN,MA12,MA12046,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_066_018.png,18,18,2,SMCQ,MAIN,MA12,MA12047,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_067_019.png,19,19,4,SMCQ,MAIN,MA12,MA12048,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_068_020.png,20,20,1,SMCQ,MAIN,MA12,MA12049,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_069_021.png,21,21,3,SMCQ,MAIN,MA12,MA12050,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_070_022.png,22,22,2,SMCQ,MAIN,MA12,MA12051,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_076_024.png,24,24,4,SMCQ,MAIN,MA12,MA12052,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_080_025.png,25,25,1,SMCQ,MAIN,MA12,MA12053,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_081_026.png,26,26,4,SMCQ,MAIN,MA12,MA12054,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_082_027.png,27,27,2,SMCQ,MAIN,MA12,MA12055,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_083_028.png,28,28,Bonus,SMCQ,MAIN,MA12,MA12056,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_085_029.png,29,29,1,SMCQ,MAIN,MA12,MA12057,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_086_030.png,30,30,1,SMCQ,MAIN,MA12,MA12058,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_087_031.png,31,31,1,SMCQ,MAIN,MA12,MA12059,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_088_032.png,32,32,1,SMCQ,MAIN,MA12,MA12060,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_089_033.png,33,33,4,SMCQ,MAIN,MA12,MA12061,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_090_034.png,34,34,3,SMCQ,MAIN,MA12,MA12062,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_091_035.png,35,35,3,SMCQ,MAIN,MA12,MA12063,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_092_036.png,36,36,30,INT,MAIN,MA12,MA12064,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_093_037.png,37,37,2,SMCQ,MAIN,MA12,MA12065,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_094_038.png,38,38,2,SMCQ,MAIN,MA12,MA12066,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_095_039.png,39,39,4,SMCQ,MAIN,MA12,MA12067,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_096_040.png,40,40,1,SMCQ,MAIN,MA12,MA12068,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_097_041.png,41,41,615,INT,MAIN,MA12,MA12069,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_098_042.png,42,42,3,SMCQ,MAIN,MA12,MA12070,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_099_043.png,43,43,51,INT,MAIN,MA12,MA12071,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_101_004.png,44,44,2,SMCQ,MAIN,MA12,MA12072,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_102_045.png,45,45,3,SMCQ,MAIN,MA12,MA12073,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_103_046.png,46,46,4,SMCQ,MAIN,MA12,MA12074,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_104_047.png,47,47,1,SMCQ,MAIN,MA12,MA12075,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_105_048.png,48,48,3,SMCQ,MAIN,MA12,MA12076,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_106_049.png,49,49,8,INT,MAIN,MA12,MA12077,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_107_050.png,50,50,3,SMCQ,MAIN,MA12,MA12078,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_108_051.png,51,51,13,INT,MAIN,MA12,MA12079,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_109_052.png,52,52,120,INT,MAIN,MA12,MA12080,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_110_053.png,53,53,1,SMCQ,MAIN,MA12,MA12081,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_111_054.png,54,54,3,SMCQ,MAIN,MA12,MA12082,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_112_055.png,55,55,2,SMCQ,MAIN,MA12,MA12083,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_113_056.png,56,56,3,SMCQ,MAIN,MA12,MA12084,utsah
Binomial Theorem,questions/MA/Binomial Theorem\question_114_057.png,57,57,2,SMCQ,MAIN,MA12,MA12085,utsah
