Question Number,Subject,Chapter,Image Path
154,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_151.png
164,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_155.png
174,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_165.png
175,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_166.png
176,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_167.png
177,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_168.png
178,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_169.png
179,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_170.png
180,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_171.png
181,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_172.png
192,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_182.png
193,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_183.png
194,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_186.png
195,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_187.png
196,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_188.png
197,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_189.png
198,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_190.png
206,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_199.png
207,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_200.png
208,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_201.png
209,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_204.png
215,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_210.png
216,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_211.png
217,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_212.png
218,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_213.png
226,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_219.png
227,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_220.png
228,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_221.png
229,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_222.png
230,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_223.png
231,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_224.png
236,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_232.png
237,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_233.png
238,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_234.png
245,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_239.png
246,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_240.png
247,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_241.png
248,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_242.png
249,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_243.png
257,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_250.png
258,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_251.png
259,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_252.png
260,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_253.png
261,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_254.png
262,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_255.png
267,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_263.png
268,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_264.png
269,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_265.png
275,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_270.png
276,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_271.png
277,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_272.png
278,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_273.png
286,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_279.png
287,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_280.png
288,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_281.png
289,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_282.png
290,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_283.png
291,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_284.png
295,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_292.png
296,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_293.png
297,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_297.png
3,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_1.png
11,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_4.png
12,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_5.png
13,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_6.png
14,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_7.png
15,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_8.png
16,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_9.png
24,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_17.png
25,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_18.png
26,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_19.png
27,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_20.png
28,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_21.png
29,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_22.png
34,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_30.png
35,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_31.png
36,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_32.png
44,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_37.png
45,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_38.png
46,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_39.png
47,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_40.png
48,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_41.png
49,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_42.png
55,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_50.png
56,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_51.png
57,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_52.png
58,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_53.png
61,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_59.png
64,Chemistry,Biomolecules,../Screenshots/Chemistry/Biomolecules\question_62.png
8,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_1.png
9,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_2.png
10,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_3.png
11,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_4.png
12,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_5.png
13,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_6.png
18,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_14.png
19,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_15.png
20,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_16.png
29,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_21.png
30,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_22.png
31,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_23.png
32,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_24.png
33,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_25.png
38,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_34.png
39,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_35.png
40,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_36.png
48,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_41.png
49,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_42.png
50,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_43.png
51,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_44.png
52,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_45.png
53,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_46.png
60,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_54.png
61,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_55.png
62,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_56.png
63,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_57.png
64,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_58.png
70,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_65.png
71,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_66.png
72,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_67.png
73,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_68.png
79,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_74.png
80,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_75.png
81,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_76.png
82,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_77.png
87,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_83.png
88,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_84.png
89,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_85.png
96,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_90.png
97,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_91.png
98,Chemistry,Chemical Bonding,../Screenshots/Chemistry/Chemical Bonding\question_92.png
